ID,mean,cv,skewness,kurtosis,weekend_ratio,summer_peak,winter_peak,trend_slope,seasonal_strength_weekly,n_peaks,peak_height_ratio,zero_percentage,avg_zero_run,cluster
19202,5.748386301369863,0.3513644476522916,1.0487364486922015,1.2869615072308562,1.3589369416047898,0.8767265262721065,1.0,-9.668947715208664e-05,0.3337699680587764,25.0,2.2702023343299205,0.0,0.0,1
19203,7.574063013698631,1.169593053158205,1.313019501298293,1.3269095655778624,1.0940776836167223,0.0461636269638022,1.0,0.0074415275046085,0.91838692424345,12.0,5.102809407592529,0.0,0.0,0
19216,7.605569863013699,0.3958476132477217,0.917378839759806,0.7047353351292367,0.6292399513148511,0.8437847297884292,1.0,-0.0025390673777154,0.5536031223210406,23.0,2.8281904429810454,0.0,0.0,1
19217,7.66930410958904,0.3917661655443116,0.4908150690404528,0.8167570545033596,1.0973339083208768,0.9086550460090524,1.0,-0.0002346995358111,0.1586638648150257,24.0,2.3933071029287367,0.0,0.0,1
19223,7.383049315068494,0.1527152014392424,0.1739367544683811,0.5358314581611716,0.9930990585364038,0.9682156556628994,1.0,0.0004366309414816,0.3470307106572147,25.0,1.5486825987554609,0.0,0.0,1
19243,11.940358904109589,0.2897847243521908,-0.0765726375434304,-0.2138746084924054,1.0995751415559671,0.9745000520507644,1.0,-0.0007125639462715,0.5152890796882185,21.0,1.7728110327332351,0.0,0.0,1
19258,5.950841093150683,0.2510973244912924,2.82032096295622,19.183886299135693,1.0003155579892704,0.9120171977347984,1.0,-0.0004134222625566,0.1309319876605907,23.0,3.2365172752080262,0.0,0.0,1
19270,17.98890410958904,0.2141226521520554,0.8879236067159944,2.0154581441454704,1.0477448550897797,0.9277426220603696,1.0,5.748217648060463e-05,0.3738683445462101,21.0,2.171949984389159,0.0,0.0,1
19275,0.0,0.0,0.8482188929301956,0.9067045702001856,1.0,1.0,1.0,0.0,0.4600781152581156,0.0,0.0,100.0,365.0,4
19298,0.5058712328767122,0.4880549530737907,3.4963636184531723,25.336323618321085,1.0237586861358556,1.1303631924346085,1.0,-0.0002446420859625,0.5180980066772655,7.0,5.667450160580148,0.0,0.0,0
19302,13.093153424657537,0.3812730946021915,0.4774726702536578,0.9947278918555358,1.037572361175902,1.3439587888244937,1.0,0.0055916875399471,0.7618408135663552,16.0,2.999124712466057,0.0,0.0,0
19308,3.715838356164383,0.3611615428546356,0.9040485032179696,0.6022643074773932,1.2934260250326184,1.4167143433609253,1.0,0.0014496302036162,0.5536047693945076,24.0,2.2759332321252015,0.0,0.0,1
19331,7.530101369863014,0.3735660747953679,0.796516079294202,0.2819243886404723,1.3597853661448425,0.8630311851011707,1.0,0.0010980546513894,0.2215536128545318,27.0,2.2558793256071428,0.0,0.0,1
19337,9.184413698630138,0.4463576498107166,0.8629150748588309,0.5891492986765563,1.0817539687419837,0.8199601417061086,1.0,-0.000870074995743,0.8060449519337711,11.0,2.5156750074799143,0.0,0.0,0
19338,1.7402712328767125,0.3198099617281622,0.488681862356244,0.858919326254219,0.8704251190984957,0.8275105121102204,1.0,-0.0010336910787393,0.1837126505055367,24.0,2.1870154077698487,0.0,0.0,1
19350,2.769293150684931,0.51119031296567,0.9235960849262292,0.5922626743260051,0.7315841009522203,0.8172910513854629,1.0,-0.0023931200844966,0.2735851663823346,31.0,2.967183159344356,0.0,0.0,1
19359,8.404479454794519,0.765130063492142,0.5901524398586079,-0.9149555552063776,1.110460161412842,0.2796271251844544,1.0,-0.0173620211449004,0.9024120055380505,14.0,3.0951351764159907,0.0,0.0,0
19362,0.0,0.0,0.8482188929301956,0.9067045702001856,1.0,1.0,1.0,0.0,0.4600781152581156,0.0,0.0,100.0,365.0,4
19399,6.758405479452054,0.3399613961637157,1.519687282368947,2.9562817232999805,1.1382342914297705,1.315269242232807,1.0,0.0031932686446721,0.5364786891424086,12.0,2.5211568101092183,0.0,0.0,1
19416,6.256599999999999,0.5372657564826436,0.3003128511282333,-0.8267010619949011,1.034613213925034,0.9047032808131286,1.0,0.0068480140564578,0.7409657674603788,19.0,2.865454080491002,0.0,0.0,1
19417,3.337956164383561,0.7866150448355285,1.6369749292348936,2.3258506122837854,1.1732890002003973,0.853931822760783,1.0,0.0182886980748871,0.785039865302768,12.0,4.104008358818538,0.0,0.0,0
19437,11.81786803561644,0.5023959784911086,-0.0796237766134072,-1.1648026303293753,0.969252940138529,0.46933331576805,1.0,-0.0169792810654874,0.858750137085177,22.0,2.599453633042501,0.0,0.0,0
19447,3.6272,0.2531853052243658,0.6791862652278112,0.5617911015925223,1.1536692595484734,0.9159774192488704,1.0,0.0005080104041478,0.224773420843447,33.0,1.9102889280988091,0.0,0.0,1
19508,5.008249315068493,0.396203939021182,2.0359800791954696,11.184606378425071,1.1938281814245917,1.016479044022488,1.0,-4.1270855800386574e-05,0.1201771909353564,29.0,4.190685942261835,0.0,0.0,1
19528,5.160279452054795,0.2732356752781167,1.56026079924683,3.603630501730467,0.9930011098135192,0.9567537013139128,1.0,0.0021800559198268,0.1750647210918227,26.0,2.3074331750112287,0.0,0.0,1
19540,8.789901369863012,0.3900411366195337,0.9349099364834612,1.6011616745146968,1.1820948528653876,0.767302267157637,1.0,0.0054575019186966,0.4136936505123385,22.0,2.62551296413007,0.0,0.0,1
19573,7.2003150684931505,0.2985569415586553,0.096922666639854,1.076770607514992,1.046235168087805,1.2820396035810206,1.0,-0.0013098748096726,0.5476569408677164,22.0,2.071992663943549,0.0,0.0,1
19587,9.231520547945204,0.6380376690444057,1.2137443055601895,1.58739926797172,1.050354210655689,0.602292112327385,1.0,0.005427793091705,0.7365436088750025,15.0,3.7293964543753457,0.0,0.0,0
19593,6.0731452054794515,0.4813201289302442,0.4759548413706454,-0.4393283393036205,1.052132128432115,0.6312592000315838,1.0,-0.0030188279046352,0.6625136053502025,18.0,2.3404676685773165,0.0,0.0,0
19596,6.173460273972603,1.1342571132252963,0.7557955657523682,-0.8705644439208031,1.0223801416436784,0.096320502859102,1.0,-0.01318248384223,0.9042432987499232,13.0,4.346508896012227,0.0,0.0,0
19604,11.144493150684932,0.3061183202230123,1.0413448106788323,2.1273453054317653,0.868456904621983,1.159800465368746,1.0,0.0023786201671672,0.1305058416235674,19.0,2.448384115012267,0.0,0.0,1
19650,15.315534246575345,0.3230430598389012,0.5159859844503761,2.8679922208837896,1.1859509290804515,0.724446265854746,1.0,-0.013066446869995,0.3967884640268639,24.0,2.7889330735916795,0.0,0.0,1
19651,10.301238356164385,0.3431813053265113,5.707055633937725,58.72851552902241,1.0765905728243577,0.9209216273102696,1.0,-0.0001664012161205,0.5065783614846887,13.0,5.111327219070882,0.0,0.0,0
19673,2.4406986301369864,0.2448312750494104,0.7312917199791291,0.7982695582949724,1.0840436899024972,0.8766712875279522,1.0,0.0002103945235092,0.2723924050124582,25.0,2.000656672522464,0.0,0.0,1
19726,15.849306849315068,0.2530242752419024,0.0885811229524854,0.3648610477485259,1.08153307253453,0.9058279984623177,1.0,-0.0032681797430057,0.3378680746901488,27.0,1.791876469426,0.0,0.0,1
19727,7.250298630136986,1.4529087312518472,2.7677007365537807,7.386291536163835,1.5156859459645051,0.9729175084197929,1.0,0.023478400535014,0.2155941245642518,20.0,8.155664065230757,0.0,0.0,1
19743,7.994120547945206,1.4117615525839016,1.1184409393870776,-0.2380684453102151,1.0664240688463624,0.0173519986885918,1.0,-0.0272360278167823,0.8987984147374157,13.0,4.834427973435271,0.0,0.0,0
19746,5.251547939726028,0.2887939547058694,0.142266335667963,0.2343289763857159,1.0482307780356002,0.920680506755702,1.0,-0.0012122811022572,0.0964913026186543,28.0,2.0397795322342316,0.0,0.0,1
19786,8.970758904109589,0.5417499516703311,1.4407091500760405,4.825342175455879,0.8646398476017058,1.2312960023227475,1.0,0.0117190574078963,0.3546234751441155,22.0,4.4704133093609775,0.0,0.0,1
19829,5.7587671232876705,0.3196788194225778,0.861826288254744,0.5237059586381658,0.9990363247614976,0.7728334523986627,1.0,-0.0063396347196481,0.5038438468548779,20.0,2.2284283641380624,0.0,0.0,1
19895,12.963863013698628,0.3369130913061518,0.1510623953376483,0.3124757335793737,1.122851191996034,0.7047105487036492,1.0,-0.0059553233651594,0.5079166599064161,23.0,2.131540573269003,0.0,0.0,1
19908,5.159712328767124,0.4586401573990312,-0.1585724352487147,-0.6488749254775215,0.9312987630654562,0.9289396208305002,1.0,-0.0009893510486818,0.5685661173687753,25.0,2.413312837340937,0.0,0.0,1
19913,4.590084931506849,0.3955075551522139,1.0231923047479663,4.708971274124882,1.0408742329643952,0.624828761655416,1.0,0.0020441776503308,0.3946935810241934,18.0,3.6241159473576463,0.0,0.0,1
19917,11.24812602739726,0.3588380632229596,4.063641734578192,28.317347576917424,0.9690511037383502,0.8943354727837058,1.0,0.009518721049891,0.2894697740575399,11.0,4.157670343139046,0.0,0.0,1
19947,14.274101369863017,0.3911995596134601,1.2269397669710338,2.7947785831392817,1.4145185242790694,1.120535151294493,1.0,0.0010832689654832,0.2752912662547932,28.0,2.962007828336289,0.0,0.0,1
19964,0.9299890410958904,0.3247781912093565,0.1631206219312007,0.2299866274218467,1.1780409866901769,0.8450929631865758,1.0,-0.0013537945773068,0.510214667005926,24.0,2.129057346382046,0.0,0.0,1
19978,6.136895890410959,0.3337236838782854,0.9387885935625916,1.7638058901935407,1.1710256916809385,0.7394544079893723,1.0,-0.00057981950679,0.3541044725514254,27.0,2.5084342760406737,0.0,0.0,1
19980,28.05034246575343,0.2521322417693489,0.5686001649111851,0.7849431540674341,1.066067414502644,0.9868605932438392,1.0,0.0043129484259284,0.2365027645715371,24.0,2.0373369797453207,0.0,0.0,1
20055,10.530586301369862,0.9869654531200612,1.0072806099059417,1.1818489219260755,1.1456137675021938,0.0311550867044534,1.0,-0.003567791808461,0.8800482819858553,15.0,4.6991685537549595,0.0,0.0,0
20059,5.700424657534246,0.3665321851414101,0.5194542226326764,0.6386164902811351,1.0090273805922658,0.68153144009835,1.0,0.0001338201434765,0.5738730764452016,19.0,2.397014401714845,0.0,0.0,1
20064,11.558208219178082,0.2386828789137016,0.1788258482703636,0.0685651011273278,1.045811620731309,1.069603302836383,1.0,-0.0026591457049575,0.1650283711408001,25.0,1.725613487989085,0.0,0.0,1
20071,4.019904109589041,0.4094437451875632,0.8060208462463327,0.4257882638021919,0.9132976605808574,0.7213915754796844,1.0,-0.0014037093156114,0.4495137543362999,21.0,2.422694605268987,0.0,0.0,1
20072,3.2106301369863015,0.7941882121128284,8.434968136673808,107.47405340089487,1.1837412991496998,0.6997438851967299,1.0,-0.0009007625430935,0.341125317546434,10.0,12.17486858722736,0.0,0.0,0
20077,9.844282191780824,0.3749592313622919,2.106345142050787,7.131048433585917,1.1289475486015803,1.268803543882657,1.0,-0.0029524488985077,0.5674685970359926,19.0,3.1977953685930744,0.0,0.0,1
20101,4.663460273972603,0.17206867297622,1.918442829673623,4.810965253402162,0.9675217018714144,1.0951240965377969,1.0,0.0002180061348936,0.2160059771168198,34.0,1.9108128892473863,0.0,0.0,1
20105,2.44552602739726,0.4014890959598019,0.8582228327733357,0.0626875036429415,1.0322221328218928,0.8609829877352752,1.0,-0.0019736281010702,0.4527755626324102,24.0,2.4722697416697197,0.273972602739726,1.0,1
20114,13.688402739726026,0.8092129833898768,0.3920133279124853,-1.0636179632931326,1.0273525906094043,0.1363765014529313,1.0,-0.0311009491070349,0.898885641047457,12.0,3.054775695534286,1.36986301369863,1.0,0
20135,6.904005479452054,0.338788507619879,0.1713690144551454,0.2213507333298836,0.9900740190600684,1.0293135454387778,1.0,-0.0005616307563983,0.343360860882687,24.0,2.1623679245956886,0.0,0.0,1
20156,1.6743068493150688,0.42766212641604,1.301771116357762,1.181308294546989,1.0231133296832104,0.7204171679971912,1.0,-0.0009478914079408,0.2851979436740373,22.0,2.454747169959517,0.0,0.0,1
20176,13.316783561643836,0.3305060475706838,1.100842523744716,1.9327837425935197,1.0718562214792864,0.7592124561022229,1.0,0.0030218566073495,0.503190788405226,19.0,2.3897662564451574,0.0,0.0,1
20189,7.618630136986302,0.5210323545546813,0.3366374035979542,-0.7917597577152877,1.142588913322194,0.5487959409068883,1.0,-0.0065094130885956,0.7682498895042162,20.0,2.3976751294591483,0.0,0.0,0
20220,3.2063479452054793,0.5501750380939243,1.2498427415272138,1.518677424634503,0.8215341421580978,0.936311802441778,1.0,-0.0009697874997223,0.210295278092707,26.0,3.2900359475253285,0.0,0.0,1
20224,7.146720547945205,0.3426004872341137,0.2657428962806555,-0.0806107347701723,0.9815783858931172,0.9990429883893586,1.0,8.542728324897657e-05,0.2420296020949511,27.0,2.184778304293607,0.0,0.0,1
20241,8.728786301369864,0.2390762462423911,0.2917233106921461,-0.3002648802009786,1.0218888511923745,0.9353345088740852,1.0,-0.0057327849110242,0.2474754609942931,25.0,1.728189862734137,0.0,0.0,1
20252,10.288841095890412,0.2532356508801702,1.0447046463103216,1.9437922556369711,0.9798245736227552,1.0674231792664406,1.0,0.0024744001451052,0.1822626856789932,34.0,2.2907341828239502,0.0,0.0,1
20280,29.054728767123297,0.5178134291810732,1.0074501932832132,0.3266245786056925,1.345279228919378,0.6639587120994637,1.0,-0.0042000996981908,0.7819316882194728,14.0,2.8519626069875117,0.0,0.0,0
20281,11.066079452054794,1.0675272739877284,0.7180293491589528,-0.6271929449931677,0.909803550462292,0.0389576827044225,1.0,0.0013047605886141,0.9276326881302256,15.0,4.367310049542982,39.726027397260275,13.181818181818182,0
20351,2.1539589041095892,0.5562198274274912,2.218854579715902,4.926403408295974,1.4159693561499984,0.9176641497125152,1.0,-0.0046628604496783,0.6367850150144475,19.0,3.5929190595208564,0.0,0.0,1
20389,2.4950794520547945,0.805263033597596,1.6578778414592747,2.673979793919679,0.923978324143902,1.460930293012939,1.0,-0.0021839347717182,0.7848308607856258,14.0,5.000642360196069,0.0,0.0,0
20394,3.626164383561643,0.5479485113579806,1.73914883132806,5.07502500056567,0.9745742046878348,1.4033049619690217,1.0,0.0015654570446396,0.4274749460732774,21.0,4.143496656718674,0.0,0.0,1
20398,8.00709315068493,0.2483272144676681,0.7995773476154227,0.6013594356921805,1.105925752427292,0.8761857447096305,1.0,0.0019971102331308,0.2323361923942877,25.0,1.877460361344,0.0,0.0,1
20399,16.410153424657533,0.3308928345782633,1.5782186324090095,3.4299220622952458,1.048261903960627,1.332116502597386,1.0,0.0197831332377481,0.5477523333278759,16.0,2.6835215284356195,0.0,0.0,1
20403,12.303128767123289,0.3283053958568597,0.6413043076159018,0.0018359566441863,1.0455256848038486,0.7453777040034306,1.0,-0.0124679838015117,0.6942646016133899,16.0,2.0397250549030628,0.0,0.0,0
20453,21.466180821917806,0.8229763707649999,4.611088938222689,23.248602162215487,0.9386629415627172,0.715418491791648,1.0,-0.0277235892335824,0.890534290008009,2.0,6.452288888696026,0.0,0.0,0
20469,25.166224657534244,0.5284592606122308,0.5094178253156391,-0.88444325278956,1.0817526503255634,0.5075088097634007,1.0,-0.0357562626010863,0.9129551401994688,13.0,2.374253620203291,0.0,0.0,0
20498,4.958232876712329,0.2292889598997205,0.9393168975549266,0.9326694654779571,1.0540983719849797,1.195499513473833,1.0,0.0052330082448429,0.6730756180745182,20.0,1.9093496080961232,0.0,0.0,1
20534,0.529972602739726,0.4833108015124576,2.8130077322768963,14.627087796327654,0.8597225115784478,0.9734316678392236,1.0,-0.000450553892548,0.1853277220680105,16.0,4.464381720430108,0.0,0.0,1
20543,9.72454794520548,0.533445801462836,2.5308268545005657,9.43596819924226,1.2512557405941602,1.1071616434073426,1.0,0.001313972676773,0.4951547896309132,18.0,4.150321457348442,0.0,0.0,1
20559,10.975323287671232,0.3728852343686246,0.952925599506734,1.2285494741580676,1.3452400790026062,0.8542490649220162,1.0,-0.0023324643467917,0.437289040986259,24.0,2.457421917611938,0.0,0.0,1
20565,3.760690410958904,0.4061930763780874,1.1154254073160623,2.4608163796347444,0.9537708214196486,0.9710573567768452,1.0,-0.0001537657043158,0.0581021993511267,27.0,3.283971465455192,0.0,0.0,1
20573,23.006183561643834,0.4444799887588365,0.0737131924223482,-1.021884941033375,0.4478836252114944,1.0378846280182017,1.0,-0.0101864859595827,0.5711108769361046,12.0,2.3658856695704324,0.0,0.0,0
20592,10.321654794520548,1.0374343471292238,0.7234867156582304,-0.6217945898101256,1.0120507082232308,0.0469553253769829,1.0,-0.0372343028406581,0.9179641402411672,12.0,4.099439561034601,30.684931506849317,6.588235294117647,0
20601,5.238178082191781,0.2381068522238206,0.8549539295423344,1.119913815601843,1.1854576306440932,1.0370915696831755,1.0,-0.0002081214541129,0.207803612337111,29.0,2.008140967135389,0.0,0.0,1
